Experiment,NorESM mean sig. area (%),NRMSE,ECE,CRPS,Mean Bias,ΔT NorESM (K),ΔT AeroGP (K),NorESM version
0xEA SO2 only,20.56552632279335,0.7684703029019683,0.4173659336419753,0.2818181670061147,-0.04028155144056088,0.10975728930760409,0.06947573786704334,NorESM1
0xEU SO2 only,19.21025217504952,0.7945074736306316,0.4389226466049383,0.28540230418751517,-0.028921287130772636,0.09939685060522499,0.07047556347445241,NorESM1
0xNA SO2 only,12.112622767193816,0.7500077007815432,0.429100758744856,0.2714748114355702,-0.002771580959744175,0.07735021881083996,0.07457863785109582,NorESM1
0xSA SO2 only,5.950125596181242,1.8686470838565445,0.33287519290123463,0.29332906302011436,-0.13420356110886672,0.06091050811649386,-0.07329305299237289,NorESM1
10xEU BC only,56.34425758378872,0.7842637454529706,0.38338316615226337,0.29174330848279467,-0.038853192159355524,0.15951213982531418,0.12065894766595879,NorESM1
10xNA BC only,34.446421264965096,0.7761511687624041,0.40420042438271603,0.2859925763442873,0.0016923912830476293,0.13368322268928828,0.13537561397233605,NorESM1
10xSA BC only,29.961024676867382,1.143267021189113,0.3711098251028806,0.2967120879571767,0.03517662769748808,0.11330586137818703,0.14848248907567493,NorESM1
10xSA SO2 only,62.7662512718586,0.93733619029318,0.3451083461934157,0.29062979628352625,0.04897882143560614,-0.17136443480286379,-0.12238561336725806,NorESM1
5xEA BC only,47.374993867233094,0.8556966890440443,0.3935908564814815,0.2875333227621714,-0.010792238560609476,0.13920504272633394,0.12841280416572437,NorESM1
5xEA SO2 only,73.90516919925744,0.8330584925083983,0.3107076260288066,0.29341214120003006,0.08216713279576854,-0.2442029616170498,-0.16203582882128154,NorESM1
5xNA SO2 only,62.34380663359795,0.7964692653594213,0.3120257844650206,0.28564864754593594,0.01965542651435694,-0.20632163060927916,-0.18666620409492227,NorESM1
7xEU SO2 only,66.83929709017053,0.7407983350513399,0.2897939171810699,0.3035662793173088,0.017161695081466283,-0.2460127383946281,-0.22885104331316203,NorESM1
AeroGP1,24.89034741600826,1.0094825601182844,0.2273662551440329,0.38279832839227457,-0.12177088606910459,-0.114215470655341,-0.23598635672444568,NorESM2
AeroGP2,52.23543976007152,1.0319746400641243,0.21450617283950615,0.42963929020663505,-0.1962556109105282,0.29422821820567097,0.09797260729514283,NorESM2
Global Anthro Removal,80.4511757581549,0.6645651556903173,0.14359889403292175,0.3177825429515156,0.015089007723666907,0.5527819007666324,0.5678709084902996,NorESM1
Global BC removal only,52.70390145769528,2.1664542642519873,0.17451131687242796,0.24644682709788382,0.22513807592563792,-0.1297385562576107,0.09539951966802722,NorESM1
Global OC removal only,38.07957297555934,1.0380561458611275,0.3097109696502057,0.2921319659084201,0.10720827534680354,0.15093352257075515,0.25814179791755876,NorESM1
Global SO2 removal only,69.75732665173936,0.6755852784002071,0.22029320987654316,0.31088601518181813,0.08004070885640102,0.3621649477590349,0.4422056566154359,NorESM1
DAMIP hist-aer,77.41281668988813,0.520561410599965,0.1084426440329218,0.46515069371845713,0.16955522810594317,-0.8353060983896031,-0.6657508702836592,NorESM2
RAMIP AF,3.010705907962019,1.621207548953227,0.38497460133744854,0.3543594644628734,0.10053732355953077,0.04662805158401856,0.14716537514354927,NorESM2
RAMIP EA,16.413241206260267,0.603544044865889,0.4369936342592592,0.3537402868004545,-0.01029044539152063,0.12986806267588955,0.1195776172843691,NorESM2
RAMIP NAE,17.75017327443617,0.8479493818837555,0.4046907150205761,0.34653837700315054,-0.05342890183775133,0.13310880490972474,0.07967990307197396,NorESM2
RAMIP SA,8.398179075348299,0.9038005355416667,0.4129211676954732,0.34889965332768796,0.005937788341469423,0.08728052302808036,0.09321831136954987,NorESM2
RAMIP T1,68.07509378427076,0.466109097119472,0.35146604938271603,0.3636753795148948,-0.02896867429791837,0.46554871314533636,0.43658003884741986,NorESM2
DAMIP ssp245-aer,47.489973084698974,0.5189588797705434,0.18291859567901236,0.1671856051697376,0.0894902340531589,-0.5832400268767333,-0.4937497928235741,NorESM2
ssp370-lowNTCF,30.323988638143938,1.1741048006620451,0.3355838477366255,0.3805369810465947,0.06582703079860798,0.18888739669538593,0.2547144274939937,NorESM2
