experiment_id,NorESM mean significant area (%),NRMSE,CRPS,Mean Bias,$\Delta$T NorESM (K),$\Delta$T AeroGP (K),NorESM version
0xEA SO2 only,32.265116075140874,1.2375098842448733,0.1304129284616835,-0.06971689105661863,0.10975728930760409,0.040040398250985605,NorESM1
0xEU SO2 only,32.1914542066859,1.3196311355649826,0.13064543543839144,-0.07304251691874936,0.09939685060522499,0.026354333686475672,NorESM1
0xNA SO2 only,25.67834245244274,1.1576401415686932,0.12604089601045934,-0.007908922672642931,0.07735021881083996,0.06944129613819709,NorESM1
0xSA SO2 only,18.612199172074824,1.5862839271506024,0.12622277462860956,0.0024065529456716453,0.06091050811649386,0.06331706106216552,NorESM1
10xEU BC only,61.444183979511024,0.8212128864411014,0.13998196649784375,-0.024134757761228403,0.15951213982531418,0.13537738206408595,NorESM1
10xNA BC only,57.171043153945845,1.0189650873873233,0.13753345280737606,-0.011735379759359687,0.13368322268928828,0.12194784292992866,NorESM1
10xSA BC only,58.05097832924715,1.478575803768449,0.13831189340269964,0.0062244596655299566,0.11330586137818703,0.11953032104371678,NorESM1
10xSA SO2 only,67.60205406369514,0.8699624247642083,0.13520073806438523,0.04193675234915582,-0.17136443480286379,-0.1294276824537083,NorESM1
5xEA BC only,61.88048139512669,0.9738556397102618,0.132215426547722,0.0228068847076829,0.13920504272633394,0.16201192743401682,NorESM1
5xEA SO2 only,75.61836903148962,0.8475662705852788,0.1425946509632621,0.05298084135396717,-0.2442029616170498,-0.19122212026308286,NorESM1
5xNA SO2 only,67.18280085155918,1.0234071447568114,0.14285194902418644,0.05781645305607537,-0.20632163060927916,-0.1485051775532038,NorESM1
7xEU SO2 only,69.90698819259613,0.9073153384954372,0.14608419030555034,0.04014686157286728,-0.2460127383946281,-0.20586587682176105,NorESM1
AeroGP1,13.283561848292624,2.136129678105832,0.15678873563581683,-0.05292456790236844,-0.114215470655341,-0.16714003855770945,NorESM2
AeroGP2,34.44749618386987,0.9718719630922716,0.16740672271407503,-0.1797867495469968,0.29422821820567097,0.11444146865867431,NorESM2
Global Anthro Removal,81.73916574194547,0.6262275097306796,0.20562238335242303,-0.022615781489945093,0.5527819007666324,0.5301661192766879,NorESM1
Global BC removal only,60.99842389243647,3.680502020637744,0.2442736518609755,0.3794473064551576,-0.1297385562576107,0.24970875019754715,NorESM1
Global OC removal only,48.645139380522664,1.4450181530296895,0.15229892879251825,0.12788379681878798,0.15093352257075515,0.27881731938954324,NorESM1
Global SO2 removal only,72.54753943351281,0.7952135435940819,0.17263722606402465,0.1226563888639353,0.3621649477590349,0.48482133662297017,NorESM1
DAMIP hist-aer,76.09503573156665,0.42009734205627197,0.19055729534852947,0.10952419388152124,-0.8353060983896031,-0.7257819045080814,NorESM2
RAMIP AF,2.980540724307528,2.1809607852454365,0.1302140083163806,0.045245024283643756,0.04662805158401856,0.09187307586766233,NorESM2
RAMIP EA,8.634250936462548,0.7501190567038563,0.13010304357079322,-0.0036551151317945362,0.12986806267588955,0.1262129475440952,NorESM2
RAMIP NAE,9.626676252841495,1.2488530729127707,0.13964867563936617,-0.09494199289965109,0.13310880490972474,0.03816681201007418,NorESM2
RAMIP SA,3.798567485735982,1.4909665231999831,0.1342047371839684,0.030609189637557106,0.08728052302808036,0.11788971266563765,NorESM2
RAMIP T1,63.05109506904421,0.36795938632698355,0.14241723892720906,-0.001903610849893896,0.46554871314533636,0.46364510229544414,NorESM2
DAMIP ssp245-aer,0.0,1.9482539975108657,0.21868345764016062,0.08904317308110017,-0.25160672689850755,-0.16256355381740856,NorESM2
